"","season5","season20","season30","season62","season90","season125","season180","season250","season365","seasonNone"
"m_number_dated_brent",0.632371559227812,0.640434867483342,0.664049717672339,0.654902579791858,0.506374380427031,0.552532915917295,0.511918615611918,0.999467940238653,0.669443125630437,0.599103531635442
"forties",0.733673805833815,0.731096412205637,0.74257974874697,0.759673514570411,0.617368911822327,0.612935412356531,0.68547735914749,1.11307351469715,0.800962001557175,0.701972944854611
"oseberg",0.357627961319354,0.341580679270556,0.355483462386924,0.395740020810343,0.274615024777447,0.325267561234735,0.250740135401709,0.569153149484375,0.328178437215215,0.336551654636172
"ekofisk",0.386070367974128,0.376281383612603,0.418858493476092,0.406434049065885,0.267404509154722,0.324977590378588,0.262641416894492,0.620218715474562,0.223573391751237,0.35744406606472
"troll",0.0879316050637117,0.0712111631778315,0.109881585652261,0.100898011962572,0.074360434023384,0.10951702354544,0.0952631563063916,0.380590680401694,0.081047937026891,0.0787687736333506
"north_sea_basket",0.480959529042004,0.475105391013634,0.489219696831112,0.509103171702985,0.367361677027195,0.394780816580728,0.392871709822763,0.771299465380614,0.449247232144223,0.452527107716666
"statfjord",0.286812252086924,0.314225992266588,0.280872352160716,0.279810029976344,0.343679331081501,0.255065671975848,0.426470429888103,0.159426669748923,0.302311203255249,0.298623929779656
"flotta_gold",0.703388497172341,0.738930973300664,0.683973480351554,0.693681467115013,0.808191873063186,0.640263422358434,0.784213313774702,0.297281753668888,0.700509215803844,0.718923189451611
"duc_dansk",0.385337248821269,0.403004364490617,0.357823888420851,0.40193526235728,0.436420032284726,0.345652771834109,0.506306805927315,0.111603306129457,0.426842743009098,0.398560556933895
"grane",0.711700624499149,0.795836889618483,0.499261249787949,0.454601078288974,0.468704881894691,0.469759022813698,0.829168721292784,0.21855363113263,0.948282820036925,0.702839166116837
"gulfaks",0.159782283015923,0.182185625965983,0.152252063735805,0.151246311028341,0.218562939791844,0.12038136218717,0.276759691871285,0.288225987478417,0.186981492854575,0.173247100467464
"alvheim",0.948538108380952,1.05850131540435,1.00837721992891,0.752930815541751,1.24356596886313,1.73434375198582,1.56404563520836,1.68178723146594,0.297000279768655,0.945595342615631
"asgard",0.963514094991794,1.07300161132303,1.02833417056102,0.764658946271112,1.27922238352338,1.73208206890457,1.54854336874384,1.67228011658395,0.326095718646729,0.963546676500286
"wti_midlands",1.81511941928593,1.7869494441888,1.87408885686247,1.47533192334179,2.00527366714398,1.79439760673365,1.81983057491275,2.07075650102357,1.9878368629869,1.82430273620472
"eagleford_45",1.78428137985965,1.76198912266265,1.85184697395287,1.44777938277987,1.98454013555127,1.74285721901855,1.78757166787127,2.04880538544,1.98213181108247,1.79562109160261
